Team,Over-under total,FanGraphs win projection,difference,actual # wins,hit/miss
San Diego Padres,66.5,65.8,0.7,71,miss
Chicago White Sox,69.5,67.8,1.7,67,hit
Milwaukee Brewers,69.5,70.3,-0.8,86,hit
Cincinnati Reds,70.5,67.5,3,68,hit
Atlanta Braves,73.5,72.1,1.4,72,hit
Oakland Athletics,73.5,76.7,-3.2,75,hit
Philadelphia Phillies,73.5,71.5,2,66,hit
Minnesota Twins,74.5,74.6,-0.1,85,hit
Kansas City Royals,76.5,75.7,0.8,80,miss
Miami Marlins,76.5,78.8,-2.3,77,hit
Arizona Diamondbacks,77.5,77.1,0.4,93,miss
Tampa Bay Rays,77.5,80.8,-3.3,80,hit
Los Angeles Angels,79.5,82.7,-3.2,80,hit
Baltimore Orioles,80.5,79.7,0.8,75,hit
Colorado Rockies,80.5,78.1,2.4,87,miss
Detroit Tigers,82.5,81.7,0.8,64,hit
New York Yankees,82.5,79.2,3.3,91,miss
Pittsburgh Pirates,82.5,79.7,2.8,75,hit
St. Louis Cardinals,84.5,85.4,-0.9,83,miss
Texas Rangers,84.5,81.7,2.8,78,hit
Toronto Blue Jays,84.5,85.8,-1.3,76,miss
Seattle Mariners,85.5,81.8,3.7,78,hit
San Francisco Giants,87.5,88.4,-0.9,64,miss
New York Mets,88.5,87.1,1.4,70,hit
Houston Astros,89.5,90.2,-0.7,101,hit
Washington Nationals,90.5,92.4,-1.9,97,hit
Boston Red Sox,92.5,90.8,1.7,93,miss
Cleveland Indians,92.5,93.5,-1,102,hit
Los Angeles Dodgers,93.5,96.6,-3.1,104,hit
Chicago Cubs,95.5,96.3,-0.8,92,miss