Team,Over/Under,Fangraphs projection,difference,actual # wins,hit/miss
Cubs,95.5,96.3,-0.8,92,miss
Indians,92.5,93.5,-1,102,hit
Dodgers,91.5,96.6,-5.1,104,hit
Nationals,90.5,92.4,-1.9,97,hit
Red Sox,90.5,90.8,-0.3,93,hit
Mets,89.5,87.1,2.4,70,hit
Astros,87.5,90.2,-2.7,101,hit
Cardinals,87.5,85.4,2.1,83,hit
Giants,87.5,88.4,-0.9,64,miss
Blue Jays,86.5,85.8,0.7,76,hit
Rangers,86.5,81.7,4.8,78,hit
Mariners,85.5,81.8,3.7,78,hit
Pirates,85.5,79.7,5.8,75,hit
Tigers,85.5,81.7,3.8,64,hit
Orioles,84.5,79.7,4.8,75,hit
Yankees,83.5,79.2,4.3,91,miss
Royals,80.5,75.7,4.8,80,hit
Rockies,79.5,78.1,1.4,87,miss
Diamondbacks,78.5,77.1,1.4,93,miss
Marlins,77.5,78.8,-1.3,77,miss
Angels,76.5,82.7,-6.2,80,hit
Rays,75.5,80.8,-5.3,80,hit
Reds,73.5,67.5,6,68,hit
White Sox,73.5,67.8,5.7,67,hit
Brewers,72.5,70.3,2.2,86,miss
Phillies,72.5,71.5,1,66,hit
Braves,71.5,78.8,-7.3,72,hit
Twins,70.5,74.6,-4.1,85,hit
Athletics,66.5,76.7,-10.2,75,hit
Padres,64.5,65.8,-1.3,71,hit