Team,over/under win total,Fangraphs Projection,difference,actual # wins,hit/miss
Arizona Diamondbacks,82,77.7,4.3,69,hit
Atlanta Braves,66.5,68.2,-1.7,68,hit
Baltimore Orioles,78.5,77.5,1,89,miss
Boston Red Sox,87,88.5,-1.5,93,hit
Chicago Cubs,94,96.2,-2.2,103,hit
Chicago White Sox,80,80.5,-0.5,78,miss
Cincinnati Reds,70.5,71.4,-0.9,68,miss
Cleveland Indians,86,87.5,-1.5,94,hit
Colorado Rockies,71,73.1,-2.1,75,hit
Detroit Tigers,82.5,80.8,1.7,86,miss
Houston Astros,87.5,87.6,-0.1,84,miss
Kansas City Royals,84,77.5,6.5,81,hit
Los Angeles Angels,80.5,80.7,-0.2,74,miss
Los Angeles Dodgers,89.5,93.4,-3.9,91,hit
Miami Marlins,80,80.8,-0.8,79,miss
Milwaukee Brewers,70.5,69.3,1.2,73,miss
Minnesota Twins,78.5,77.8,0.7,59,hit
New York Mets,89.5,91.6,-2.1,87,miss
New York Yankees,85,81.9,3.1,84,hit
Oakland Athletics,76,79.3,-3.3,69,miss
Philadelphia Phillies,65.5,64.1,1.4,71,miss
Pittsburgh Pirates,85.5,83,2.5,78,hit
San Diego Padres,74,72.8,1.2,68,hit
Seattle Mariners,83,81.7,1.3,86,miss
San Francisco Giants,88.5,87.8,0.7,87,hit
St. Louis Cardinals,86.5,85.7,0.8,86,hit
Tampa Bay Rays,82.5,80.9,1.6,68,hit
Texas Rangers,83,79.2,3.8,95,miss
Toronto Blue Jays,86.5,83.5,3,89,miss
Washington Nationals,89,90,-1,95,hit