team,win total over/under,fangraphs projection (feb 25),difference,Actual # of wins,hit or miss
Arizona Diamondbacks,74.5,72.4,2.1,52,hit
Atlanta Braves,91.5,88,3.5,88,hit
Baltimore Orioles,64.5,64.8,-0.3,52,miss
Boston Red Sox,80.5,85,-4.5,92,hit
Chicago Cubs,79.5,79.5,0,71,null
Chicago White Sox,91.5,85.9,5.6,93,miss
Cincinnati Reds,82.5,79.4,3.1,83,miss
Cleveland Indians,81.5,82,-0.5,80,miss
Colorado Rockies,64.5,64.8,-0.3,74,hit
Detroit Tigers,68.5,71.5,-3,77,hit
Houston Astros,86.5,89.4,-2.9,95,hit
Kansas City Royals,72.5,77.7,-5.2,74,hit
Los Angeles Angels,83.5,84.7,-1.2,77,miss
Los Angeles Dodgers,101.5,99.6,1.9,106,miss
Miami Marlins,70.5,70.5,0,67,null
Milwaukee Brewers,82.5,82.8,-0.3,95,hit
Minnesota Twins,88.5,88.2,0.3,73,hit
New York Mets,90.5,91.5,-1,77,miss
New York Yankees,95.5,95.4,0.1,92,hit
Oakland Athletics,87.5,83.7,3.8,86,hit
Philadelphia Phillies,80.5,80,0.5,82,miss
Pittsburgh Pirates,59.5,66.2,-6.7,61,hit
San Diego Padres,94.5,94.7,-0.2,79,miss
San Francisco Giants,75.5,76.3,-0.8,107,hit
Seattle Mariners,72.5,74,-1.5,90,hit
St. Louis Cardinals,86.5,80.7,5.8,90,miss
Tampa Bay Rays,85.5,82.9,2.6,100,miss
Texas Rangers,66.5,69.8,-3.3,60,miss
Toronto Blue Jays,86.5,87,-0.5,91,hit
Washington Nationals,84.5,81.4,3.1,65,hit